fight_id,fighter_id,result,sig_strikes,sig_attempted,td,td_attempted,sub_attempts,control_time
fc4ab243d21b795d,887961364be5ceb3,W,65,141,1,2,0,44
fc4ab243d21b795d,07bc580bdf3eb9c8,L,30,72,2,3,0,70
a5a81a39ccf9b680,6e15f63b6c2e2c15,L,17,26,0,0,0,0
a5a81a39ccf9b680,5d1b7e3dd9e11074,W,17,23,0,0,0,4
d000cb692343cdcd,64d47ef881a437a4,L,12,20,0,0,0,29
d000cb692343cdcd,084532da3d25f3b8,W,14,19,6,7,0,675
47149f3187661509,8667caa0451d245b,D,24,48,0,0,0,217
47149f3187661509,095854a135e6db55,D,27,44,3,13,0,380
93ca562453f65b8d,20bccc9bb4ceb23e,W,4,9,0,0,0,2
93ca562453f65b8d,5b03b61f9d90125e,L,2,4,0,0,0,0
24bb03f0a3415fbe,9560ff14eb3129f7,L,12,22,0,0,0,0
24bb03f0a3415fbe,239d8e5359022f3b,W,20,32,0,1,0,88
a2523a8565fe4361,0f3a990526c5e706,L,66,153,0,1,0,0
a2523a8565fe4361,e56cee1ad697db04,W,170,292,0,0,0,3
0fca825e14429c1f,84b3e7d38f2d2ec5,L,5,11,0,0,0,0
0fca825e14429c1f,f139d6836efd43dd,W,9,19,1,2,1,116
225e93ebed9b71b8,791c8437b341fba5,W,33,57,8,12,2,479
225e93ebed9b71b8,5d8006587d6a6711,L,21,47,4,5,0,180
dc6f6c8228390ebb,82a5152216251682,L,7,11,1,3,0,91
dc6f6c8228390ebb,20bccc9bb4ceb23e,W,19,40,1,1,0,32
dd12bf51c5ed7f1e,b997be68943010fc,L,3,10,0,0,0,0
dd12bf51c5ed7f1e,681399317dbf4701,W,10,19,0,0,0,0
8d740c844353ae0e,0d8011111be000b2,W,110,241,0,0,0,18
8d740c844353ae0e,093e1f5bb73850be,L,55,122,0,1,0,32
54437b8dba3a6110,85497ffd934ecf7e,W,33,47,2,2,0,21
54437b8dba3a6110,e5864a42c80294f6,L,7,14,0,2,0,1
372d1dee0db8dbee,23dec7c47cb418f8,L,74,148,1,3,1,47
372d1dee0db8dbee,595db60957de51d3,W,63,132,2,2,0,48
202d3277e569ad03,c68c68efaa5ca6ef,L,120,205,0,2,0,6
202d3277e569ad03,28d421729451c8ca,W,115,276,0,5,0,140
7ffdaa44fc8d111b,6d68c1afe954f121,L,32,90,0,1,0,58
7ffdaa44fc8d111b,30cad5a751adcb48,W,30,75,5,15,0,370
fd56a469e4589ebc,f2b3f4ef3f780168,L,20,35,0,0,0,23
fd56a469e4589ebc,f9ab66e67240db7b,W,19,30,2,4,1,273
ceb5b0f1f6daddf6,51e2f44a8dbf6984,L,22,74,0,1,0,44
ceb5b0f1f6daddf6,5078e1dacf9d25f4,W,12,24,3,7,1,561
508e622130b0a84d,8e382b585a92affe,L,54,111,0,0,0,15
508e622130b0a84d,a3dda21be645be93,W,66,111,3,9,2,317
8f9896e60047007f,3d074044a33825e7,L,38,67,3,11,0,228
8f9896e60047007f,64facb6cc564262d,W,40,92,3,4,0,300
