fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg
ba5c6eeb8ef45f5c,Levi Avera,,18,15,0,73,170,,,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45e738622ea2c02c,Timur Valiev,Lucky,18,3,,66,135,67,Orthodox,36,5.19,0.53,3.33,0.45,1.73,0.4,0.55,0.3
f77afa72da84c9a8,Julieta Martinez,The Ninja Ferret,8,0,0,61,115,62,Orthodox,21,2.53,0.44,3.6,0.41,5.0,0.45,1.0,0.0
a571770c4016736f,Muhammed Lawal,King Mo,21,6,,72,205,78,Southpaw,45,3.79,0.52,1.61,0.66,5.96,0.75,0.87,0.0
d29b5c4f22c6357d,Gilbert Yvel,The Hurricane,39,16,,74,225,77,Orthodox,49,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0
f75c5ca0d91b9115,Richie Smullen,,3,1,1,69,155,68,Orthodox,34,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0
80daefbed11ce998,Alejandro Perez,Turbo,23,9,1,66,135,67,Orthodox,36,3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3
5bb70ebd65075c5c,Shawn Teed,,5,2,0,77,265,,Orthodox,34,1.4,0.42,13.31,0.21,0.0,0.0,0.0,0.0
37cc294027f55e4d,Austin Springer,,12,4,0,68,145,71,Orthodox,38,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8
2adb11835acd815b,Tom Blackledge,,10,7,0,,205,,Orthodox,,2.91,0.61,2.55,0.46,0.0,0.0,0.75,0.0
d6d5da3c209884bc,Guilherme Vasconcelos,Bomba,9,4,0,72,185,,Orthodox,39,3.27,0.29,4.4,0.7,0.0,0.0,0.0,0.0
c046100aea0dba9a,Shoji Maruyama,,12,9,1,67,139,,Orthodox,42,1.4,0.63,0.27,0.55,0.0,0.0,0.54,0.0
805ad1801eb26abb,Jaime Jara,El Cucui,38,18,,73,205,,Southpaw,56,2.2,0.6,1.47,0.56,0.0,0.0,0.25,0.0
e1a4568fec1fc24f,Tim Stout,,12,10,0,71,185,,,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dba230fe33011201,Jong Man Kim,Special Force,23,11,,67,139,,Orthodox,47,1.33,0.21,3.0,0.6,0.0,0.0,0.0,0.0
e780ccc79a209985,John Dowdy,,0,1,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57bf89d42364d39e,Issei Tamura,,10,8,0,65,135,63,Orthodox,41,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0
8f3df4c579cfbb69,David Mitchell,Daudi,22,7,0,72,170,75,Orthodox,46,1.74,0.32,2.06,0.55,0.66,0.5,0.29,2.0
303e017a9074f3aa,Felipe Portela,Balboa,9,2,0,,170,,,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec664422b22d9787,Jenel Lausa,,7,5,0,65,125,68,Orthodox,37,1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8
01b352b6a9074d5c,Chase Sherman,The Vanilla Gorilla,16,12,0,76,250,78,Orthodox,36,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
4948e412fa6ab67d,Ravena Oliveira,Kenoudy,7,3,1,65,115,65,Orthodox,29,1.4,0.29,2.8,0.5,1.08,0.66,0.5,0.0
2f732dd9210d301f,Tito Ortiz,The People's Champ,19,12,1,75,205,74,Orthodox,51,2.59,0.46,2.88,0.6,2.47,0.35,0.54,0.6
c879d8620261b1a3,Rickson Zenidim,The King,14,2,0,67,125,67,Orthodox,27,1.67,0.32,4.07,0.33,0.0,0.0,0.0,0.0
87a1dc546b1c5caf,Makwan Amirkhani,Mr. Finland,17,9,0,70,145,72,Southpaw,37,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1
a9c45a8b21eabadc,Ralph Gracie,,6,1,0,69,183,,Orthodox,54,0.86,0.37,1.72,0.31,0.0,0.0,0.25,4.0
9d19d9e4aa2662e8,Nicolas Dalby,Lokomotivo,24,6,,71,170,74,Orthodox,41,3.88,0.43,3.51,0.52,0.9,0.26,0.59,0.1
d2c55d1d2e67773b,David Branch,,22,6,0,73,185,78,Orthodox,44,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0
27b164b0d1833df0,Kalindra Faria,,18,8,1,67,125,,Switch,39,2.23,0.56,1.44,0.45,1.31,0.66,0.2,0.7
33e00249ef08d3a4,Jake Lindsey,The Librarian,12,7,0,71,155,,Switch,39,3.44,0.52,4.01,0.46,0.65,0.33,0.5,0.0
0bbb69f69c9a2eea,Nate Smith,The Savage,6,1,0,66,125,69,Switch,30,1.28,0.38,2.04,0.35,0.0,0.0,0.33,2.3
bf7a64d9ae343e86,Ahmad Hassanzada,Lion of the Ring,11,3,0,73,155,75,Orthodox,29,3.16,0.39,4.42,0.38,2.43,0.19,0.0,1.2
08e908ed6d18d6a0,Myles Jury,Fury,17,4,0,70,145,73,Orthodox,37,2.94,0.42,2.16,0.66,2.16,0.55,0.5,0.3
76ee3d666c648f6b,Charles Byrd,Kid Dynamite,10,7,0,70,185,73,Orthodox,42,3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5
5444c5a201d3ee5a,Jamahal Hill,Sweet Dreams,12,4,,76,205,79,Southpaw,34,6.19,0.51,4.03,0.44,0.0,0.0,0.73,0.0
8164250600b7c91b,Cody Floyd,,2,0,0,,,,,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470fedbc8563ac47,Daniel Omielanczuk,,19,8,,72,247,74,Southpaw,43,3.09,0.57,3.29,0.47,0.56,0.26,0.68,0.1
4682bc59d5f55145,Sean Woodson,The Sniper,13,2,1,74,145,78,Orthodox,33,5.57,0.46,4.18,0.58,0.58,0.55,0.84,0.3
6f812143641ceff8,Rubin Williams,Mr. Hollywood,0,1,0,73,185,,Orthodox,49,0.0,0.0,1.39,0.6,0.0,0.0,0.0,0.0
c11036da9162cb5f,Mike Altman,,1,4,0,70,185,,Orthodox,,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0
92aed9d16794f42b,Robert Ruchala,Faker,11,2,0,68,145,72,Switch,27,2.27,0.35,3.27,0.57,2.0,0.33,0.0,0.0
c6bf75775b278ed8,Mauricio Alonso,,13,7,,74,170,,,46,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0
f1175ea3aafbf351,Hu Yaozong,Totoro,3,3,0,75,185,72,Orthodox,30,3.35,0.48,5.09,0.35,0.0,0.0,0.33,0.4
86dfed7cc24a9fa7,Matt Serra,The Terra,11,7,0,66,170,68,Orthodox,51,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
618643d0d5c0631d,Manuel Gaxhja,,7,0,0,68,155,,Switch,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e44c679c30403cba,Lacey Schuckman,,11,10,0,63,125,,,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ff2c606c8bc365e3,Josh Rafferty,,9,8,0,72,170,,Orthodox,45,0.6,0.33,3.6,0.5,0.0,0.0,0.0,9.0
aec185309b4843d0,Siyar Bahadurzada,The Great,24,8,1,71,170,73,Orthodox,41,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3
04f9fe830cf13482,Gerald Strebendt,The Finishing Machine,9,7,0,69,155,,Orthodox,46,0.0,0.0,4.0,0.38,0.0,0.0,0.0,16.4
7bc475b0fc2020ab,Luis Ramos,Beicao,20,10,2,68,170,,Orthodox,45,2.4,0.35,5.6,0.42,1.5,0.2,1.0,0.0
cc351e408bbb7d43,Brandon Davis,Killer B,14,10,0,70,135,72,Orthodox,35,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1
90b57b19d20e1969,Mateo Vogel,Carrapato,8,3,0,68,145,71,Orthodox,29,4.47,0.46,2.87,0.65,1.0,0.16,0.0,0.0
4debc6c4c6249690,Patrik White,Primetime,9,2,0,72,155,72,Orthodox,32,9.77,0.49,6.28,0.6,0.0,0.0,0.5,0.0
5a9f7b5ffebdd6e7,KyeungPyo Kim,Redhorse,11,4,0,69,155,71,Orthodox,34,6.77,0.46,6.32,0.63,3.87,0.4,1.0,0.0
f797f0c57a83353e,Trevor Smith,Hot Sauce,15,10,0,75,185,75,Orthodox,45,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7
ff175a137b395e2b,Jorge Gonzalez,Street,16,4,0,74,205,76,Orthodox,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9caa254991a5a698,Dylan Lockard,,6,2,0,69,145,72,Orthodox,33,1.31,0.53,3.31,0.52,2.31,0.4,0.28,1.2
3d481aa374c954a1,Aliev Makhmud,,0,1,0,66,195,,Southpaw,56,1.12,0.3,2.24,0.36,2.1,0.5,0.0,0.0
5af480a3b2e1726b,David Hood,,1,3,0,72,200,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f9ab66e67240db7b,Joselyne Edwards,La Pantera,17,6,0,68,135,70,Orthodox,30,4.61,0.53,3.24,0.5,1.43,0.4,0.61,0.6
288aaa8f82040e02,Dante Rivera,,16,7,0,73,185,,Southpaw,51,2.27,0.53,4.0,0.25,0.0,0.0,0.16,0.0
44260175069b6276,Jens Pulver,Little Evil,27,19,1,67,145,70,Southpaw,51,2.12,0.37,3.13,0.56,0.22,0.33,0.63,0.3
f139d6836efd43dd,Yaroslav Amosov,,29,1,0,72,170,75,Orthodox,32,2.78,0.47,1.55,0.54,4.64,0.5,0.0,4.6
679a9054e2815943,Tomasz Drwal,Gorilla,21,5,1,73,205,76,Orthodox,44,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4
b9c3ee342eb72100,Janay Harding,Hollowpoint,2,3,0,,135,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b6033505c245e28b,JungHyun Lee,The Phenom,8,1,0,65,125,65,Orthodox,23,4.27,0.39,6.2,0.38,0.0,0.0,0.64,0.0
5b08af4fbc987f9c,Taiga Iwasaki,,9,2,0,73,185,73,Orthodox,28,1.99,0.33,7.08,0.32,0.0,0.0,0.0,0.0
f264ba50b007f39e,Victor Hugo,Striker,25,5,0,67,135,71,Orthodox,33,3.27,0.44,2.95,0.56,0.81,0.33,0.73,1.2
10ccf4ec9913cadc,Christian Uflacker,,5,0,0,71,170,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e5a59983f4603621,Billy Pasulatan,,10,3,0,65,125,66,Switch,34,0.65,0.2,5.22,0.48,0.0,0.0,0.0,4.9
606136dee6f6ecea,Dan Molina,,13,9,0,70,216,,,41,0.0,0.0,5.58,0.6,0.0,0.0,0.0,20.9
033343da4c0cff8a,Carina Damm,Beauty But the Beast,2,13,0,64,135,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4731f43693b96b8,Rodolfo Rubio Perez,Fito,10,16,1,65,145,,Orthodox,39,1.13,0.36,1.0,0.62,2.0,0.33,0.33,0.0
43a59ce3bb40449e,Mizuki,,16,6,0,63,115,65,Orthodox,31,4.45,0.52,4.65,0.49,0.75,0.33,0.8,0.0
f647247f0d9f3b50,Kuya Ito,Psycho Zombie,17,9,1,65,135,66,Orthodox,29,3.4,0.39,3.13,0.55,0.0,0.0,0.62,1.0
60c72f7459827881,Julio Paulino,The Dominican Demon,23,5,0,72,170,,Orthodox,50,0.97,0.27,1.87,0.48,0.0,0.0,0.37,0.5
6d12031661db8ac8,Sam Greco,,3,1,1,74,205,,Orthodox,58,2.4,0.75,1.33,0.53,0.0,0.0,0.25,1.0
3ec1e4ba98c9c85a,JC Cottrell,,17,5,0,69,155,,Orthodox,36,0.79,0.25,2.75,0.45,0.79,1.0,0.5,0.0
34e552520a934063,Brad Scott,Bear,11,6,0,73,170,76,Orthodox,36,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7
d05412b513b19621,Guido Cannetti,Ninja,10,8,0,66,135,68,Southpaw,46,3.44,0.55,2.84,0.51,2.27,0.55,0.64,0.4
49f78022126bf4a4,Cesar Arzamendia,Goku,8,3,0,71,155,,Orthodox,35,5.37,0.45,5.2,0.56,7.32,0.75,0.0,2.4
a6cba6bb66c1a8c9,Danny Roberts,Hot Chocolate,18,8,0,73,170,74,Southpaw,38,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2
7cf0944b88966118,David Douglas,Tarzan,9,7,0,71,155,,,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4f74c8be51db8a37,Daiju Takase,,12,15,2,72,170,,Southpaw,47,0.49,0.3,1.64,0.47,0.84,0.17,0.21,1.2
215a70f073a7b726,Jordan Espinosa,The Gamer,15,9,,66,125,69,Orthodox,36,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2
e192ebb85b68fa9e,Dylan Mantello,The Quiet Man,8,4,0,73,155,73,Orthodox,33,4.69,0.62,4.76,0.55,0.0,0.0,0.76,0.0
2dc1bc1a02961656,Manny Bermudez,The Bermudez Triangle,14,2,0,70,145,71,Orthodox,31,2.92,0.61,2.68,0.46,3.06,0.54,0.0,3.1
aae0897825336b1a,Renzo Gracie,,13,7,,70,185,,Orthodox,58,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8
d2f43cfaf8ca3560,Fernando Padilla,El Valiente,16,6,0,73,145,76,Orthodox,29,6.07,0.4,5.74,0.52,0.0,0.0,1.0,0.6
dab8cfbb6b1db10a,Livinha Souza,The Brazilian Gangsta,14,4,0,63,115,63,Orthodox,34,1.75,0.45,3.6,0.56,2.54,0.45,0.4,1.4
a72a2a769fa5a2be,Anshul Jubli,King of Lions,7,2,0,72,155,69,Switch,31,6.42,0.46,5.72,0.5,0.81,0.18,0.63,0.4
89839250eb25c9c1,Caio Machado,Bigfoot,8,4,1,76,250,78,Southpaw,31,5.82,0.53,2.87,0.63,0.0,0.0,0.82,0.0
bc8f6b42767e28df,Naoyuki Kotani,,34,14,7,68,155,66,Southpaw,44,1.02,0.31,2.89,0.5,0.83,0.16,0.46,0.8
5de61b03868035ff,Matt Foki,Twin Tiger,5,4,,67,220,,Orthodox,49,0.0,0.0,3.37,0.56,0.0,0.0,0.0,0.0
37a6c95201592fea,Egan Inoue,,13,8,0,69,190,,Southpaw,60,1.66,0.36,3.31,0.57,0.0,0.0,0.0,0.0
6e743a33d56bdaa4,Payton Talbott,,11,1,0,70,135,70,Switch,27,6.62,0.56,3.41,0.46,0.78,0.44,0.77,0.2
684d3aee255a3d09,Gadzhi Omargadzhiev,,13,2,0,73,170,71,Switch,33,1.8,0.39,2.2,0.39,1.35,0.3,0.6,0.5
7195e2a932686f82,Nick Roehrick,,7,1,0,74,205,,Orthodox,38,2.31,0.17,6.92,0.44,0.0,0.0,0.0,0.0
d4da8995fc91e7ef,Katsuyori Shibata,,4,11,1,72,168,,Orthodox,46,2.06,0.35,2.4,0.53,0.49,0.5,0.53,0.7
81d2c551886bd5a1,Alice Pereira,Golden Girl,6,1,0,68,135,71,Orthodox,20,2.47,0.31,3.0,0.72,0.0,0.0,1.0,0.0
eb84192d1a97f69e,Kemran Lachinov,,3,2,0,,170,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e5ecaf884b6da2bc,Chris Clements,The Menace,12,6,,70,170,70,Orthodox,50,3.2,0.49,2.37,0.44,0.0,0.0,0.32,0.3
74939a16c7b56f33,Juan Diaz,Pegajoso,15,1,1,68,135,69,Orthodox,27,5.82,0.39,5.02,0.6,3.01,0.33,0.0,0.0
917a5cb9821df261,Jeremy Kimball,,15,8,0,72,205,72,Switch,35,2.81,0.46,3.84,0.49,1.41,0.2,0.5,0.0
8112c9a23dccc759,JR Coughran,Bam Bam,4,1,0,66,145,,Orthodox,31,12.29,0.57,6.8,0.45,0.0,0.0,0.75,0.0
2e04a3b4a2011b97,Roland Payne,,0,1,0,69,205,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b27b8881d7444114,Adam Cella,El Naturel,6,8,0,74,170,,,40,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3
2cfba6c837c03ed0,Patchy Mix,No Love,20,3,0,71,135,70,Southpaw,32,5.3,0.43,7.3,0.43,2.5,0.62,0.0,0.0
aa1952ec0b3dd8e1,Kurt Pellegrino,Batman,16,7,0,68,155,70,Orthodox,46,2.45,0.43,1.94,0.63,2.9,0.54,0.69,0.8
c7d7fda69ec410d3,Kamuela Kirk,The Jawaiian,12,6,0,70,155,75,Switch,31,3.22,0.5,5.87,0.4,1.5,0.26,0.47,1.2
6d48a2df51749d91,Antonio Trocoli,Malvado,12,6,,77,185,80,Orthodox,35,1.37,0.5,5.55,0.24,0.79,0.1,0.33,0.8
5431dccc09118234,Lance Benoist,,7,2,0,71,170,72,Southpaw,37,3.68,0.51,2.7,0.56,1.5,0.33,0.61,0.0
566ff9546fc29acd,Felipe Pena,Preguica,0,0,0,,,,,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501821d7fb7b95c1,Fabio Aguiar,,17,1,0,72,185,,,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946db8a378903cc3,Joe Giannetti,,6,1,0,72,155,74,Southpaw,30,1.93,0.38,2.8,0.4,1.0,0.16,0.0,0.0
8a1f3b5c526cd6e6,Daniel Rodriguez,D-Rod,20,5,0,73,170,74,Southpaw,39,7.2,0.49,5.4,0.57,0.51,0.5,0.64,0.1
c1e4ae143cce7398,Aurelijus Kerpe,,11,22,0,,,,Orthodox,,1.26,0.16,8.21,0.31,0.0,0.0,0.0,0.0
3eb4dc9a7d4ac906,Ramona Pascual,,6,5,0,67,135,66,Southpaw,37,3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0
fdf18227faa596dd,Chad Griggs,The Grave Digger,11,3,0,73,205,73,Orthodox,47,2.67,0.5,2.22,0.46,1.51,0.66,0.41,0.0
7d420039bbfe7c1a,Aoriqileng,The Mongolian Murderer,26,12,,67,135,69,Orthodox,32,4.69,0.49,5.47,0.48,1.2,0.46,0.58,0.0
93c9897f0f9f5dab,Kelly Velasco,Killer,2,1,0,69,135,,Orthodox,30,2.27,0.35,5.67,0.47,0.0,0.0,1.0,0.0
e9712cad24948ce1,SangWon Kim,No Problem,10,6,1,69,145,69,Orthodox,32,3.18,0.57,3.73,0.58,0.69,0.25,0.72,0.0
9114c8ded5ccd71d,Eric Smith,,1,1,0,,,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e1062e066c601e6,Tetsuya Seki,,14,8,1,70,155,,,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1c2f2571b18791b6,Laverne Clark,,27,21,1,71,170,,Orthodox,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e6294b37bbef029,Stephanie Egger,,8,5,0,66,135,68,Orthodox,37,2.2,0.46,2.48,0.52,2.48,0.42,0.5,0.6
e5c38954c006f15c,Yuki Sasaki,,25,22,2,74,185,,Orthodox,49,1.09,0.43,1.2,0.57,0.43,1.0,0.66,0.0
2482ef3331a82e75,Mark Dickman,Tricky,11,3,0,69,145,,,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1c610f900f9884ab,John Donaldson,J.T.,2,2,0,68,145,,,33,1.21,0.23,4.22,0.51,0.0,0.0,0.0,0.0
50c469e0cb73be10,Yura Naito,2 FACE,6,1,0,72,185,74,Orthodox,29,1.22,0.44,5.33,0.28,1.67,0.09,0.0,0.0
5d8006587d6a6711,Isaac Thomson,,9,3,0,70,145,69,,23,1.4,0.44,2.2,0.42,4.0,0.8,0.33,0.0
22a92d7f62195791,Tony Ferguson,El Cucuy,26,11,0,71,170,76,Orthodox,42,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9
70380ccdc81915b8,Yadier del Valle,The Cuban Problem,10,1,0,69,145,69,Southpaw,29,4.05,0.6,2.16,0.55,1.23,0.42,0.58,2.0
39831e62d12e7ad1,Clayton MacFarlane,,4,1,0,,170,,,,1.33,0.52,1.82,0.55,1.05,0.33,0.37,0.0
c44530d3969134a3,Jack Congdon,.50 Cal,7,2,0,74,170,75,Switch,28,5.29,0.35,9.71,0.21,0.0,0.0,1.0,0.0
5a6e4d2f0c76a242,Manuel Rodriguez,Chalate,11,5,0,69,170,,Orthodox,40,0.81,0.33,3.23,0.38,9.09,0.75,0.0,0.0
ed209f6618c82e41,Hacran Dias,Barnabe,23,6,1,68,155,69,Orthodox,41,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5
e8b731feff72294b,Alexa Grasso,,16,5,1,65,125,66,Orthodox,32,4.11,0.41,3.73,0.58,0.41,0.35,0.54,0.6
e6dac752a2418a88,Rubens Xavier,Macula,5,3,0,75,220,,Orthodox,51,0.77,0.42,1.82,0.21,2.1,0.4,0.25,1.1
dc950d59dc590aca,Ebenezer Fontes Braga,Pitbull,13,7,2,72,199,,Orthodox,56,2.42,0.5,0.42,0.71,0.0,0.0,0.9,0.6
7ee0fd831c0fe7c3,Carlos Prates,The Nightmare,23,7,0,73,170,78,Switch,32,3.77,0.55,4.53,0.47,0.21,1.0,0.8,0.0
396fe87b84ac2e1c,Lerone Murphy,The Miracle,17,0,1,69,145,73,Orthodox,34,4.48,0.53,2.51,0.61,1.41,0.54,0.51,0.5
b26d3e3746fb4024,Brian Bowles,,10,3,0,67,135,70,Orthodox,45,2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4
f7a7f7118d4b01b6,Lyoto Machida,The Dragon,24,8,0,73,185,74,Southpaw,47,2.59,0.53,1.57,0.61,1.21,0.65,0.75,0.4
