fight_id,event_date,weight_class,method,round
a5a81a39ccf9b680,2025-12-13,Flyweight,KO/TKO,1
24bb03f0a3415fbe,2025-12-13,Featherweight,KO/TKO,2
d000cb692343cdcd,2025-12-13,Middleweight,U-DEC,3
93ca562453f65b8d,2025-12-13,Featherweight,KO/TKO,1
47149f3187661509,2025-12-13,Heavyweight,U-DEC,3
fc4ab243d21b795d,2025-12-13,Catch Weight,S-DEC,3
0fca825e14429c1f,2025-12-13,Welterweight,SUB,1
225e93ebed9b71b8,2025-12-13,Featherweight,U-DEC,3
a2523a8565fe4361,2025-12-13,Heavyweight,KO/TKO,2
ceb5b0f1f6daddf6,2025-12-13,Women's Bantamweight,U-DEC,3
ac56a1052c4c8f63,2025-12-13,Heavyweight,U-DEC,3
71170fb7ade3e1f4,2025-12-13,Women's Flyweight,KO/TKO,1
8d740c844353ae0e,2026-02-21,Middleweight,KO/TKO,3
dd12bf51c5ed7f1e,2026-02-21,Welterweight,KO/TKO,1
dc6f6c8228390ebb,2026-02-21,Featherweight,KO/TKO,1
04b7bcc0e8488604,2026-02-21,Heavyweight,U-DEC,3
54437b8dba3a6110,2026-02-21,Welterweight,KO/TKO,1
372d1dee0db8dbee,2026-02-21,Middleweight,S-DEC,3
202d3277e569ad03,2026-02-21,Welterweight,U-DEC,3
7ffdaa44fc8d111b,2026-02-21,Flyweight,U-DEC,3
ac39c1f00ae31e58,2026-02-21,Flyweight,U-DEC,3
fd56a469e4589ebc,2026-02-21,Women's Bantamweight,SUB,2
8f9896e60047007f,2026-02-21,Welterweight,U-DEC,3
508e622130b0a84d,2026-02-21,Welterweight,S-DEC,3
5b97f47cdd355cbe,2026-02-21,Featherweight,U-DEC,3
6e78d874097a3d22,2026-02-21,Women's Flyweight,U-DEC,3
b06b43670238c2d8,2026-01-31,Featherweight,U-DEC,5
a7ae8f6eb5fc3a79,2026-01-31,Lightweight,KO/TKO,2
57d7a683b85bb87b,2026-01-31,Lightweight,KO/TKO,2
67765535bd0b6bdf,2026-01-31,Heavyweight,U-DEC,3
32e9bc4d0a19a923,2026-01-31,Lightweight,SUB,1
d94f1b32a81e3fa1,2026-01-31,Light Heavyweight,SUB,2
47362cae6ba0e077,2026-01-31,Middleweight,KO/TKO,2
0047f8aadca1936f,2026-01-31,Middleweight,U-DEC,3
78912b78aa946375,2026-01-31,Welterweight,SUB,2
4c1e7e1765a5438a,2026-01-31,Featherweight,M-DEC,3
ad14c502c9c5a7e9,2026-01-31,Lightweight,U-DEC,3
780bae82bdfc7112,2026-01-31,Featherweight,KO/TKO,3
5c73e0013b859664,2026-01-31,Bantamweight,S-DEC,3
856f6ee049373843,2025-11-15,Welterweight,U-DEC,5
7606f6b6c19f2d73,2025-11-15,Women's Flyweight,U-DEC,5
477af74ea3cbba8b,2025-11-15,Welterweight,KO/TKO,1
3c60884853766487,2025-11-15,Welterweight,KO/TKO,2
9b5f190cd3f5ce16,2025-11-15,Lightweight,KO/TKO,1
292b83afa418635f,2025-11-15,Middleweight,KO/TKO,3
ebb012c5f3fd0cbb,2025-11-15,Middleweight,U-DEC,3
909cd8633507a0c8,2025-11-15,Women's Flyweight,SUB,2
e313286b307334a7,2025-11-15,Featherweight,U-DEC,3
9bbdc2a2ab334541,2025-11-15,Middleweight,SUB,1
e3cbd663732f4a98,2025-11-15,Featherweight,U-DEC,3
6c2c6a6e3f4d04db,2025-11-15,Women's Strawweight,U-DEC,3
c037cf1f7b429d5e,2025-11-15,Middleweight,KO/TKO,3
1a5378e32e8519ef,2025-11-15,Lightweight,U-DEC,3
747d922b329b7f30,2025-11-01,Featherweight,KO/TKO,1
9d9390b550d77e06,2025-11-01,Heavyweight,KO/TKO,1
b0f68344e01884ff,2025-11-01,Welterweight,U-DEC,3
767b78b67c7da17c,2025-11-01,Featherweight,SUB,1
71c8ca7442bcb757,2025-11-01,Welterweight,SUB,3
f41c2c82d5117230,2025-11-01,Catch Weight,SUB,2
f063bcccbbb9edc5,2025-11-01,Light Heavyweight,SUB,1
58f6248da3cdf3ce,2025-11-01,Bantamweight,U-DEC,3
c245be6698c1e378,2025-11-01,Middleweight,SUB,2
760150e9951e65fa,2025-11-01,Women's Bantamweight,S-DEC,3
32927d50acedb507,2025-11-01,Women's Strawweight,U-DEC,3
e6031b5937294176,2025-11-01,Welterweight,U-DEC,3
7add5901fac6ab82,2025-11-01,Women's Strawweight,SUB,3
fa4b3f5ce8055921,2026-01-24,Lightweight,U-DEC,5
007e8e0d4a39d82c,2026-01-24,Bantamweight,U-DEC,3
d93ee3860196c4ae,2026-01-24,Heavyweight,KO/TKO,2
d63c9aa4f4873001,2026-01-24,Women's Flyweight,U-DEC,3
836a188a90e479a5,2026-01-24,Featherweight,U-DEC,3
6c9f4799990c3c33,2026-01-24,Bantamweight,U-DEC,3
33be2456161c14c3,2026-01-24,Middleweight,U-DEC,3
780cab0cd07589e4,2026-01-24,Light Heavyweight,KO/TKO,3
b5aafe149bec4306,2026-01-24,Flyweight,KO/TKO,1
abfb3ed6dcb0e1f0,2026-01-24,Heavyweight,KO/TKO,1
210fc45074fba464,2026-01-24,Welterweight,KO/TKO,1
4e224ebb6394611d,2025-11-08,Welterweight,KO/TKO,2
f7e9bd2d6f81aeae,2025-11-08,Flyweight,SUB,1
b23fa678cc65cf5b,2025-11-08,Welterweight,KO/TKO,1
20971ed9a842b0cb,2025-11-08,Lightweight,KO/TKO,2
ac4343150638b635,2025-11-08,Middleweight,KO/TKO,2
e3d657dd88864ba7,2025-11-08,Featherweight,U-DEC,3
c6d56aad93f98249,2025-11-08,Bantamweight,U-DEC,3
80eae31bc0a94a65,2025-11-08,Women's Bantamweight,U-DEC,3
87dcb3eab20f6ac1,2025-11-08,Heavyweight,KO/TKO,1
9126633d921afb57,2025-11-08,Women's Strawweight,U-DEC,3
238c274c90587e21,2025-11-08,Bantamweight,SUB,2
84b66bf7fba2d59d,2025-11-08,Catch Weight,SUB,2
4a0db214d9721d6e,2025-12-06,Bantamweight,U-DEC,5
dfa692db6d39330c,2025-12-06,Flyweight,KO/TKO,1
fbbb9e72900b71f5,2025-12-06,Flyweight,KO/TKO,2
1dc29f4c6fcdd356,2025-12-06,Bantamweight,U-DEC,3
6d6ab10cbaa45e8c,2025-12-06,Light Heavyweight,M-DEC,3
c797b58d85c840a4,2025-12-06,Lightweight,KO/TKO,1
b3d2ac2244e4f791,2025-12-06,Lightweight,SUB,1
2417cc7bc1eea75b,2025-12-06,Women's Flyweight,U-DEC,3
10a57b983e59f727,2025-12-06,Lightweight,KO/TKO,2
3c683da1924b6c44,2025-12-06,Middleweight,U-DEC,3
7af407397532f7cf,2025-12-06,Lightweight,KO/TKO,1
ea660db65bfa998f,2025-12-06,Light Heavyweight,KO/TKO,1
964ea1777695851b,2025-12-06,Middleweight,SUB,1
40fa4f8b4b93884e,2025-12-06,Featherweight,KO/TKO,3
fb4b1754d510b0d0,2026-02-07,Bantamweight,SUB,2
dbbf8334a2600895,2026-02-07,Flyweight,U-DEC,3
a5c5f76cf0a7c784,2026-02-07,Heavyweight,U-DEC,3
8fea32ab0445859c,2026-02-07,Middleweight,U-DEC,3
2a26c0cfa06265b7,2026-02-07,Bantamweight,S-DEC,3
6cca11f353a2b42d,2026-02-07,Light Heavyweight,KO/TKO,2
f964d2dda87f25f0,2026-02-07,Welterweight,U-DEC,3
abefaf1807941ee4,2026-02-07,Welterweight,KO/TKO,1
cc5c5a8cff4c1ae9,2026-02-07,Women's Strawweight,U-DEC,3
86df0e75f41784d8,2026-02-07,Bantamweight,U-DEC,3
84e8ccc3c97c2b4c,2026-02-07,Catch Weight,U-DEC,3
9d30c887e8bd8824,2026-02-07,Bantamweight,SUB,3
2bbfbb234c255249,2026-02-07,Women's Bantamweight,U-DEC,3
5f5b626e67529056,2025-11-22,Lightweight,SUB,2
b2218930b982d9b6,2025-11-22,Welterweight,U-DEC,3
870d374f8d9af65a,2025-11-22,Light Heavyweight,KO/TKO,1
8ed609d80e135d94,2025-11-22,Welterweight,KO/TKO,1
e8307c7686c42d8c,2025-11-22,Heavyweight,KO/TKO,1
00ee51bba08b7a08,2025-11-22,Flyweight,SUB,3
5e6a74db89f5410c,2025-11-22,Featherweight,KO/TKO,2
c49485cedb878cf0,2025-11-22,Welterweight,S-DEC,3
443f30a4a856584a,2025-11-22,Flyweight,SUB,3
f5564a9eeebd4ea0,2025-11-22,Light Heavyweight,SUB,1
6f0231915cc28507,2025-11-22,Bantamweight,U-DEC,3
335064c3380e2f10,2025-11-22,Middleweight,KO/TKO,1
46f81d5ecd974c1c,2025-11-22,Lightweight,U-DEC,3
9027e156c6f1988a,2025-11-22,Heavyweight,U-DEC,3
79865287be90e4be,2025-10-11,Lightweight,SUB,2
f295eb2a7b0ba4b7,2025-10-11,Bantamweight,S-DEC,3
6188b7fb3f8daacc,2025-10-11,Welterweight,U-DEC,3
03377f7bf8a2d5ff,2025-10-11,Heavyweight,KO/TKO,2
2aef1a91d26dde42,2025-10-11,Featherweight,SUB,1
cff0abc02974fb4a,2025-10-11,Featherweight,KO/TKO,1
766b0b26c40525de,2025-10-11,Flyweight,SUB,1
a815dafc89adf33b,2025-10-11,Heavyweight,KO/TKO,3
546f971f9d8e0a33,2025-10-11,Women's Bantamweight,SUB,2
434abaea90ccd299,2025-10-11,Flyweight,U-DEC,3
c547b3e95bcc5f24,2025-10-11,Women's Strawweight,KO/TKO,3
0f9e7d0d04e24b74,2025-10-11,Bantamweight,SUB,2
5bcd8abf6da01dae,2025-09-06,Middleweight,U-DEC,5
d14fea43712707f0,2025-09-06,Lightweight,SUB,2
0149e875b31e57f8,2025-09-06,Light Heavyweight,KO/TKO,1
69b31593175f77ec,2025-09-06,Lightweight,KO/TKO,2
a47123ae6e048f11,2025-09-06,Welterweight,KO/TKO,3
b53031bf4bd0a330,2025-09-06,Featherweight,U-DEC,3
4080b4310d82b42d,2025-09-06,Light Heavyweight,KO/TKO,1
23dbe713c4294c66,2025-09-06,Heavyweight,KO/TKO,1
5cd2dd6075fadcce,2025-09-06,Lightweight,KO/TKO,1
420211200a35c1d1,2025-09-06,Welterweight,KO/TKO,1
b3253e2c2d111030,2025-09-06,Middleweight,KO/TKO,3
d56a59a4c79cf515,2025-09-06,Welterweight,KO/TKO,1
a38010639e61885c,2025-09-06,Women's Strawweight,SUB,2
d61373d9fdf01a12,2025-10-18,Middleweight,KO/TKO,4
cdd565a16975c711,2025-10-18,Welterweight,U-DEC,3
857d274e47aa8c4e,2025-10-18,Bantamweight,S-DEC,3
c82acd7b17915591,2025-10-18,Women's Flyweight,KO/TKO,1
a18edcb638ba7e39,2025-10-18,Bantamweight,SUB,1
3af1bdc5a510bba9,2025-10-18,Lightweight,U-DEC,3
ecdbb3a5216b815e,2025-10-18,Lightweight,KO/TKO,3
970f083af8368f57,2025-10-18,Bantamweight,KO/TKO,1
668a44403a130043,2025-10-18,Flyweight,SUB,3
096e00355c8c84ac,2025-10-18,Middleweight,U-DEC,3
8d9458121f0c4b95,2025-10-18,Women's Strawweight,SUB,3
87ac0e5face106b4,2025-10-18,Middleweight,KO/TKO,3
dec301fd5e99ca46,2025-10-18,Women's Bantamweight,KO/TKO,3
6390c8e74630473e,2025-10-25,Heavyweight,CNC,1
7d3da3c4153717de,2025-10-25,Women's Strawweight,U-DEC,5
e69f9b4b9cae12a4,2025-10-25,Bantamweight,U-DEC,3
b42a3386a7dccb3d,2025-10-25,Heavyweight,S-DEC,3
ef12d2aaaadaf6d0,2025-10-25,Light Heavyweight,KO/TKO,1
cb902d73389ed34b,2025-10-25,Lightweight,KO/TKO,1
0230a9dd2739add4,2025-10-25,Middleweight,U-DEC,3
e9c034cec33b3479,2025-10-25,Lightweight,M-DEC,3
f2c2a49fed32bd75,2025-10-25,Heavyweight,SUB,1
bd7394f07247d9ca,2025-10-25,Featherweight,U-DEC,3
3fdb4c4b39218cf4,2025-10-25,Heavyweight,U-DEC,3
22dd728012944f0a,2025-10-25,Flyweight,U-DEC,3
ef1519c8c1d20977,2025-10-25,Women's Strawweight,U-DEC,3
2eecf0c36192e40c,2025-08-23,Light Heavyweight,KO/TKO,2
58080e8989927500,2025-08-23,Catch Weight,U-DEC,5
5538d15c4eeac3b3,2025-08-23,Heavyweight,U-DEC,3
ce6bd165bef82bd7,2025-08-23,Flyweight,U-DEC,3
1452c20d964c0a63,2025-08-23,Welterweight,KO/TKO,1
0b1460c666e66d39,2025-08-23,Lightweight,U-DEC,3
1ab1ed99a4bc5494,2025-08-23,Flyweight,KO/TKO,2
f55749e32ce5c6f3,2025-08-23,Lightweight,U-DEC,3
130e622d4d2aee3e,2025-08-23,Middleweight,KO/TKO,1
f0b7caa90faf47e5,2025-08-23,Featherweight,KO/TKO,1
2f6065fe0804d1d8,2025-08-23,Bantamweight,U-DEC,3
7fc5f1dc2df84ac7,2025-08-23,Light Heavyweight,SUB,1
a3ee907c77544cde,2025-09-27,Light Heavyweight,KO/TKO,1
f5fb8b182020c59d,2025-09-27,Light Heavyweight,SUB,1
