fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg,hist_fights,hist_wins,hist_losses,hist_win_rate,hist_strike_acc,hist_td_acc,hist_sub_avg,hist_ctrl_avg,hist_finish_rate
46d0a888d87d91ac,Abu Azaitar,Captain Morocco,14,4,1.0,69.0,185.0,76.0,Orthodox,40.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,2.0,1.0,1.0,0.5,0.4340753424657534,0.5,0.0,159.5,0.0
394f55ebca199124,Ivan Salaverry,,14,9,0.0,72.0,185.0,,Orthodox,55.0,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5,6.0,3.0,3.0,0.5,0.47401996151996145,0.2,1.6666666666666667,76.5,1.0
03f982ca3735070c,Walt Harris,The Big Ticket,13,10,,77.0,250.0,77.0,Southpaw,42.0,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1,13.0,6.0,7.0,0.46153846153846156,0.41026673830119637,0.0,0.07692307692307693,9.461538461538462,1.0
9508cc6184cb2450,Eric McConico,,10,4,1.0,72.0,185.0,77.0,Southpaw,35.0,2.61,0.43,3.23,0.46,0.0,0.0,0.64,0.0,2.0,1.0,1.0,0.5,0.37286324786324787,0.4,0.0,96.0,0.0
d2f43cfaf8ca3560,Fernando Padilla,El Valiente,16,6,0.0,73.0,145.0,76.0,Orthodox,29.0,6.07,0.4,5.74,0.52,0.0,0.0,1.0,0.6,3.0,2.0,1.0,0.6666666666666666,0.5310620225826557,0.0,0.3333333333333333,18.666666666666668,1.0
b406da701c479076,Ernest Chavez,EJ,10,2,0.0,68.0,145.0,70.0,Orthodox,42.0,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0,2.0,1.0,1.0,0.5,0.42005105592945,0.5,0.0,213.0,0.0
5114f1b5ad4cdf72,Shane Primm,,5,5,0.0,75.0,205.0,,Orthodox,41.0,0.83,0.26,2.25,0.62,1.78,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
a20f234df70f2182,Ji Yeon Kim,Firefist,9,7,2.0,67.0,125.0,72.0,Orthodox,36.0,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1,9.0,3.0,6.0,0.3333333333333333,0.36126939510801237,0.0,0.0,61.44444444444444,0.3333333333333333
fa37628269132d1a,Godofredo Pepey,,13,6,0.0,67.0,145.0,73.0,Orthodox,38.0,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5,10.0,5.0,5.0,0.5,0.4064145989319787,0.14285714285714285,0.8,66.7,0.8
6f242453c91a5af0,Dennis Bermudez,The Menace,17,9,0.0,66.0,155.0,66.0,Orthodox,39.0,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1,16.0,9.0,7.0,0.5625,0.45871983490985124,0.391991341991342,0.75,265.6875,0.3333333333333333
563a1d42bb0e3cef,Tre'ston Vines,TVTime,10,4,0.0,73.0,185.0,79.0,Orthodox,29.0,0.0,0.0,3.56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
1ddb480b601cefb1,Chance Rencountre,Black Eagle,14,4,0.0,74.0,170.0,75.0,Southpaw,39.0,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3,3.0,2.0,1.0,0.6666666666666666,0.3211382113821138,0.3055555555555555,0.3333333333333333,264.3333333333333,0.5
1e38bba6738b7b10,Alfonso Alcarez,,1,3,1.0,63.0,145.0,,,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
eae48ff31db420c2,Arman Tsarukyan,Ahalkalakets,23,3,0.0,67.0,155.0,72.0,Orthodox,29.0,3.85,0.5,1.8,0.54,3.26,0.37,0.75,0.1,11.0,9.0,2.0,0.8181818181818182,0.5190862347878896,0.40568181818181814,0.0,307.0,0.4444444444444444
f7d73e452b064bf2,Danny Henry,The Hatchet,12,4,0.0,72.0,145.0,73.0,Orthodox,37.0,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2,3.0,2.0,1.0,0.6666666666666666,0.5019704433497537,0.3333333333333333,1.0,122.0,0.5
9310418684bc896f,Pawel Pawlak,,12,3,0.0,72.0,170.0,73.0,Orthodox,37.0,1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0,2.0,1.0,1.0,0.5,0.375,0.75,0.0,93.5,0.0
1dc56b59cb28425d,Oleg Taktarov,The Russian Bear,17,5,2.0,72.0,210.0,,Orthodox,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.7142857142857143,0.21442006269592478,0.0,1.2857142857142858,0.0,0.8
50cc91ce2982785d,Ricco Rodriguez,Suave,53,25,,76.0,265.0,,Orthodox,48.0,1.85,0.51,1.15,0.61,2.3,0.39,0.4,1.0,6.0,5.0,1.0,0.8333333333333334,0.6023437641170198,0.5388888888888889,1.0,395.8333333333333,1.0
173acb3f920082b8,Roland Delorme,,9,5,,69.0,135.0,71.0,Orthodox,42.0,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,5.0,3.0,2.0,0.6,0.4591754886258578,0.45131313131313133,1.4,162.4,0.6666666666666666
0f6528b461e47462,Joao Roque,,7,2,4.0,66.0,155.0,,Orthodox,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
8e5d953bdb9ae5e7,Loopy Godinez,,14,5,0.0,62.0,115.0,61.0,Orthodox,32.0,4.51,0.49,4.03,0.62,2.96,0.41,0.81,0.9,13.0,8.0,5.0,0.6153846153846154,0.5399425846629435,0.45871212121212124,0.8461538461538461,250.6153846153846,0.25
be0b310a12eb80b4,Enrique Barzola,El Fuerte,17,5,2.0,67.0,145.0,70.0,Orthodox,36.0,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,8.0,6.0,2.0,0.75,0.43745451958187515,0.4306547619047619,0.25,278.5,0.0
c32aeb1a59e6272d,Michael Morales,,19,0,0.0,72.0,170.0,79.0,Orthodox,26.0,5.68,0.49,3.26,0.53,1.04,0.41,0.89,0.0,6.0,6.0,0.0,1.0,0.5751454585992625,0.25,0.0,32.833333333333336,0.6666666666666666
d4270315cbcf2569,Jacob Malkoun,Mamba,9,3,0.0,69.0,185.0,73.0,Orthodox,30.0,4.55,0.58,2.36,0.55,5.81,0.4,0.33,0.9,6.0,4.0,2.0,0.6666666666666666,0.4536677753141168,0.3801282051282051,0.3333333333333333,362.6666666666667,0.25
3a24769a4855040a,Diego Nunes,The Gun,19,7,0.0,66.0,145.0,67.0,Orthodox,43.0,2.72,0.43,2.59,0.58,1.18,0.44,0.65,0.6,5.0,3.0,2.0,0.6,0.436491288930705,0.5,0.0,135.0,0.0
993d385f5a475375,Andy Enz,Tank Mode,10,4,0.0,75.0,185.0,78.0,Orthodox,34.0,3.51,0.23,5.32,0.57,0.0,0.0,0.58,0.0,2.0,0.0,2.0,0.0,0.24503639010189227,0.0,0.0,0.0,0.5
f14cf73e51b29254,Sergei Pavlovich,,20,3,0.0,75.0,257.0,84.0,Southpaw,33.0,4.43,0.44,3.62,0.55,0.48,0.25,0.75,0.0,10.0,7.0,3.0,0.7,0.45215092811303326,0.3333333333333333,0.0,44.5,0.8571428571428571
0d0351c20169a499,Jon Delos Reyes,The Heat,8,5,0.0,66.0,125.0,67.0,Orthodox,38.0,2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9,3.0,1.0,2.0,0.3333333333333333,0.4187569178373776,1.0,1.0,117.66666666666667,1.0
3143bf892608139a,Yana Santos,,17,8,,66.0,135.0,68.0,Orthodox,36.0,4.41,0.57,3.12,0.52,0.78,0.47,0.51,0.1,11.0,6.0,5.0,0.5454545454545454,0.5887557341180943,0.475,0.09090909090909091,242.63636363636363,0.0
f3a853544e4413c4,Anthony Lapsley,The Recipe,23,7,,69.0,170.0,,Southpaw,46.0,0.53,0.34,0.58,0.66,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0,0.42105263157894735,0.4,0.0,318.0,0.5
72c4b253d2f5ebf2,Roman Salazar,El Gallito,10,6,,67.0,135.0,,Orthodox,38.0,1.95,0.39,2.89,0.57,1.77,0.18,0.5,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5
e780ccc79a209985,John Dowdy,,0,1,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4599432462259341,0.4,0.1875,101.32142857142857,0.5
56b8b24f65f9f057,Mike Kyle,MAK,22,14,,76.0,205.0,77.0,Orthodox,45.0,3.93,0.51,3.35,0.49,1.33,0.62,0.5,0.8,2.0,1.0,1.0,0.5,0.6520833333333333,0.0,0.5,119.5,1.0
cd7bafbeee1f29a0,War Machine,,14,5,0.0,71.0,170.0,,Orthodox,44.0,2.32,0.6,3.17,0.43,1.16,0.5,0.4,0.0,1.0,1.0,0.0,1.0,0.6041666666666666,0.5,0.0,433.0,1.0
