height_in_a,weight_lb_a,reach_in_a,age_a,slpm_a,str_acc_dec_a,sapm_a,str_def_dec_a,td_avg_a,td_acc_dec_a,td_def_dec_a,sub_avg_a,height_in_b,weight_lb_b,reach_in_b,age_b,slpm_b,str_acc_dec_b,sapm_b,str_def_dec_b,td_avg_b,td_acc_dec_b,td_def_dec_b,sub_avg_b,hist_fights_a,hist_wins_a,hist_losses_a,hist_win_rate_a,hist_strike_acc_a,hist_td_acc_a,hist_sub_avg_a,hist_ctrl_avg_a,hist_finish_rate_a,hist_fights_b,hist_wins_b,hist_losses_b,hist_win_rate_b,hist_strike_acc_b,hist_td_acc_b,hist_sub_avg_b,hist_ctrl_avg_b,hist_finish_rate_b,height_in_diff,weight_lb_diff,reach_in_diff,age_diff,slpm_diff,str_acc_dec_diff,sapm_diff,str_def_dec_diff,td_avg_diff,td_acc_dec_diff,td_def_dec_diff,sub_avg_diff,hist_fights_diff,hist_wins_diff,hist_losses_diff,hist_win_rate_diff,hist_strike_acc_diff,hist_td_acc_diff,hist_sub_avg_diff,hist_ctrl_avg_diff,hist_finish_rate_diff,stance_a_Orthodox,stance_a_Sideways,stance_a_Southpaw,stance_a_Switch,stance_a_Unknown,stance_b_Orthodox,stance_b_Sideways,stance_b_Southpaw,stance_b_Switch,stance_b_Unknown,weight_class_Catch Weight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Open Weight,weight_class_Other,weight_class_Welterweight,weight_class_Women's Bantamweight,weight_class_Women's Flyweight,weight_class_Women's Strawweight,target
70.0,155.0,72.0,36.0,3.78,0.49,2.62,0.57,2.11,0.38,0.82,0.8,67.0,155.0,72.0,29.0,3.85,0.5,1.8,0.54,3.26,0.37,0.75,0.1,21,16,5,0.7619047619047619,0.5031300012227623,0.3519607843137255,0.5714285714285714,227.52380952380952,0.5,9,7,2,0.7777777777777778,0.5095837559500356,0.39520202020202017,0.0,317.0,0.42857142857142855,3.0,0.0,0.0,7.0,-0.07000000000000028,-0.010000000000000009,0.8200000000000001,0.029999999999999916,-1.15,0.010000000000000009,0.06999999999999995,0.7000000000000001,12,9,3,-0.015873015873015928,-0.006453754727273275,-0.04324123588829465,0.5714285714285714,-89.47619047619048,0.07142857142857145,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65.0,135.0,68.0,38.0,2.63,0.53,3.47,0.49,1.61,0.35,0.57,1.2,68.0,135.0,71.0,38.0,5.11,0.45,3.53,0.57,0.7,0.29,0.37,0.3,13,10,3,0.7692307692307693,0.5699370117843627,0.5241046831955923,1.5384615384615385,120.38461538461539,0.7,16,10,6,0.625,0.4600238855748936,0.4153846153846154,0.3125,63.9375,0.7,-3.0,0.0,-3.0,0.0,-2.4800000000000004,0.08000000000000002,-0.05999999999999961,-0.07999999999999996,0.9100000000000001,0.06,0.19999999999999996,0.8999999999999999,-3,0,-3,0.14423076923076927,0.10991312620946914,0.10872006781097693,1.2259615384615385,56.44711538461539,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70.0,155.0,71.0,39.0,6.38,0.53,3.58,0.62,1.31,0.42,0.72,0.3,75.0,155.0,77.0,30.0,5.79,0.48,4.54,0.41,0.75,0.55,0.75,1.1,21,12,9,0.5714285714285714,0.5467607449375249,0.39666666666666667,0.23809523809523808,108.76190476190476,0.4166666666666667,10,6,4,0.6,0.4981951039487538,0.5555555555555556,0.7,65.7,1.0,-5.0,0.0,-6.0,9.0,0.5899999999999999,0.050000000000000044,-0.96,0.21000000000000002,0.56,-0.13000000000000006,-0.030000000000000027,-0.8,11,6,5,-0.02857142857142858,0.048565640988771086,-0.1588888888888889,-0.4619047619047619,43.061904761904756,-0.5833333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70.0,170.0,72.0,33.0,3.96,0.55,3.05,0.59,3.53,0.53,0.86,0.9,69.0,185.0,71.0,34.0,3.67,0.42,3.53,0.57,1.01,0.34,0.6,0.1,6,5,1,0.8333333333333334,0.5190052248626525,0.6226851851851852,0.6666666666666666,266.6666666666667,0.4,20,12,8,0.6,0.42047635552225593,0.3683106575963719,0.1,124.05,0.4166666666666667,1.0,-15.0,1.0,-1.0,0.29000000000000004,0.13000000000000006,-0.48,0.020000000000000018,2.5199999999999996,0.19,0.26,0.8,-14,-7,-7,0.2333333333333334,0.09852886934039662,0.25437452758881335,0.5666666666666667,142.61666666666667,-0.016666666666666663,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
68.0,155.0,69.0,37.0,3.43,0.43,4.17,0.53,0.34,0.5,0.7,0.8,67.0,155.0,70.0,44.0,2.63,0.33,3.0,0.61,3.1,0.35,0.66,0.6,9,5,4,0.5555555555555556,0.4567082475792955,0.5,0.3333333333333333,20.444444444444443,0.6,35,18,17,0.5142857142857142,0.37517089975176315,0.3340272141053391,0.45714285714285713,260.6857142857143,0.3888888888888889,1.0,0.0,-1.0,-7.0,0.8000000000000003,0.09999999999999998,1.17,-0.07999999999999996,-2.7600000000000002,0.15000000000000002,0.039999999999999925,0.20000000000000007,-26,-13,-13,0.041269841269841345,0.08153734782753236,0.1659727858946609,-0.12380952380952381,-240.24126984126985,0.21111111111111108,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
76.0,185.0,77.0,31.0,4.48,0.54,3.92,0.43,2.8,0.61,0.52,1.3,72.0,185.0,72.0,31.0,2.26,0.48,3.02,0.5,1.88,0.41,0.68,0.5,0,0,0,0.6428571428571429,0.4716922977588943,0.4490467568676125,0.2857142857142857,116.5,0.5714285714285714,6,2,4,0.3333333333333333,0.40042874063693845,0.45,0.6666666666666666,86.33333333333333,1.0,4.0,0.0,5.0,0.0,2.2200000000000006,0.06000000000000005,0.8999999999999999,-0.07,0.9199999999999999,0.2,-0.16000000000000003,0.8,-6,-2,-4,0.3095238095238096,0.07126355712195587,-0.0009532431323875379,-0.38095238095238093,30.16666666666667,-0.4285714285714286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72.0,185.0,75.0,34.0,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1,71.0,170.0,72.0,33.0,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1,5,1,4,0.2,0.33387896825396823,0.35,0.2,166.8,0.0,6,3,3,0.5,0.5088155911495308,0.25,0.0,40.0,1.0,1.0,15.0,3.0,1.0,-1.12,-0.08000000000000002,-0.08000000000000007,0.0,0.1100000000000001,-0.14,-0.019999999999999962,1.0,-1,-2,1,-0.3,-0.17493662289556255,0.09999999999999998,0.2,126.80000000000001,-1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67.0,135.0,68.0,37.0,2.81,0.42,3.28,0.55,0.63,0.37,0.52,0.2,66.0,135.0,65.0,39.0,2.62,0.44,3.05,0.51,1.97,0.3,0.56,1.2,4,3,1,0.75,0.467479117358993,0.4166666666666667,0.25,169.0,0.6666666666666666,12,6,6,0.5,0.436988750114317,0.2266955266955267,0.9166666666666666,239.58333333333334,0.3333333333333333,1.0,0.0,3.0,-2.0,0.18999999999999995,-0.020000000000000018,0.22999999999999998,0.040000000000000036,-1.3399999999999999,0.07,-0.040000000000000036,-1.0,-8,-3,-5,0.25,0.03049036724467602,0.18997113997113999,-0.6666666666666666,-70.58333333333334,0.3333333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
75.0,185.0,75.0,29.0,4.44,0.5,4.96,0.5,0.73,0.18,0.66,0.0,75.0,205.0,75.0,30.0,5.37,0.6,5.86,0.46,1.38,0.35,0.94,0.2,3,1,2,0.3333333333333333,0.5368692734546393,0.0,0.0,12.666666666666666,1.0,0,0,0,0.6666666666666666,0.4731491988522903,0.45454545454545453,0.2857142857142857,116.11111111111111,0.5714285714285714,0.0,-20.0,0.0,-1.0,-0.9299999999999997,-0.09999999999999998,-0.9000000000000004,0.03999999999999998,-0.6499999999999999,-0.16999999999999998,-0.2799999999999999,-0.2,3,1,2,-0.3333333333333333,0.06372007460234902,-0.45454545454545453,-0.2857142857142857,-103.44444444444444,0.4285714285714286,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69.0,155.0,70.0,38.0,4.25,0.55,3.65,0.49,1.49,0.26,0.69,0.0,69.0,155.0,70.0,32.0,1.97,0.53,1.85,0.5,2.06,0.48,0.14,1.4,9,7,2,0.7777777777777778,0.5509681968854598,0.38958333333333334,0.0,170.66666666666666,0.14285714285714285,6,5,1,0.8333333333333334,0.5175907690753926,0.423015873015873,1.1666666666666667,442.3333333333333,0.4,0.0,0.0,0.0,6.0,2.2800000000000002,0.020000000000000018,1.7999999999999998,-0.010000000000000009,-0.5700000000000001,-0.21999999999999997,0.5499999999999999,-1.4,3,2,1,-0.05555555555555558,0.03337742781006725,-0.033432539682539675,-1.1666666666666667,-271.66666666666663,-0.2571428571428572,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
