fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg
46d0a888d87d91ac,Abu Azaitar,Captain Morocco,14,4,1,69,185,76,Orthodox,40,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0
394f55ebca199124,Ivan Salaverry,,14,9,0,72,185,,Orthodox,55,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5
03f982ca3735070c,Walt Harris,The Big Ticket,13,10,,77,250,77,Southpaw,42,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1
9508cc6184cb2450,Eric McConico,,10,4,1,72,185,77,Southpaw,35,2.61,0.43,3.23,0.46,0.0,0.0,0.64,0.0
d2f43cfaf8ca3560,Fernando Padilla,El Valiente,16,6,0,73,145,76,Orthodox,29,6.07,0.4,5.74,0.52,0.0,0.0,1.0,0.6
b406da701c479076,Ernest Chavez,EJ,10,2,0,68,145,70,Orthodox,42,2.79,0.4,3.89,0.59,0.89,0.33,0.5,0.0
5114f1b5ad4cdf72,Shane Primm,,5,5,0,75,205,,Orthodox,41,0.83,0.26,2.25,0.62,1.78,0.2,0.0,0.0
a20f234df70f2182,Ji Yeon Kim,Firefist,9,7,2,67,125,72,Orthodox,36,5.37,0.36,5.41,0.56,0.0,0.0,0.5,0.1
fa37628269132d1a,Godofredo Pepey,,13,6,0,67,145,73,Orthodox,38,2.32,0.38,3.23,0.47,0.37,0.07,0.35,1.5
6f242453c91a5af0,Dennis Bermudez,The Menace,17,9,0,66,155,66,Orthodox,39,4.42,0.46,3.07,0.59,3.89,0.4,0.82,1.1
563a1d42bb0e3cef,Tre'ston Vines,TVTime,10,4,0,73,185,79,Orthodox,29,0.0,0.0,3.56,0.5,0.0,0.0,0.0,0.0
1ddb480b601cefb1,Chance Rencountre,Black Eagle,14,4,0,74,170,75,Southpaw,39,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3
1e38bba6738b7b10,Alfonso Alcarez,,1,3,1,63,145,,,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eae48ff31db420c2,Arman Tsarukyan,Ahalkalakets,23,3,0,67,155,72,Orthodox,29,3.85,0.5,1.8,0.54,3.26,0.37,0.75,0.1
f7d73e452b064bf2,Danny Henry,The Hatchet,12,4,0,72,145,73,Orthodox,37,5.2,0.51,4.16,0.45,0.74,0.33,0.5,2.2
9310418684bc896f,Pawel Pawlak,,12,3,0,72,170,73,Orthodox,37,1.67,0.33,2.22,0.53,1.0,0.37,0.7,0.0
1dc56b59cb28425d,Oleg Taktarov,The Russian Bear,17,5,2,72,210,,Orthodox,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50cc91ce2982785d,Ricco Rodriguez,Suave,53,25,,76,265,,Orthodox,48,1.85,0.51,1.15,0.61,2.3,0.39,0.4,1.0
173acb3f920082b8,Roland Delorme,,9,5,,69,135,71,Orthodox,42,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6
0f6528b461e47462,Joao Roque,,7,2,4,66,155,,Orthodox,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8e5d953bdb9ae5e7,Loopy Godinez,,14,5,0,62,115,61,Orthodox,32,4.51,0.49,4.03,0.62,2.96,0.41,0.81,0.9
be0b310a12eb80b4,Enrique Barzola,El Fuerte,17,5,2,67,145,70,Orthodox,36,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3
c32aeb1a59e6272d,Michael Morales,,19,0,0,72,170,79,Orthodox,26,5.68,0.49,3.26,0.53,1.04,0.41,0.89,0.0
