fighter_id,name,nickname,wins,losses,ties,height_in,weight_lb,reach_in,stance,age,slpm,str_acc_dec,sapm,str_def_dec,td_avg,td_acc_dec,td_def_dec,sub_avg
9bdebbf2735d14c2,Cleber Luciano,,14,6,0,66,155,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c0c36a5b3d5bbdd5,Mike Stumpf,,11,4,0,70,170,,,39,3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8
984b0c4c6e773a1c,Josh Epps,,6,7,0,,130,,,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ad044be25c94dcfd,Jakob Lovstad,The Striking Viking,11,4,0,75,205,,Orthodox,46,0.0,0.0,9.43,0.35,0.0,0.0,0.0,0.0
5cdf5339728f580d,Felipe dos Santos,Lipe Detona,8,3,,67,125,70,Orthodox,25,3.75,0.39,3.8,0.41,0.0,0.0,0.2,0.5
eee7dafac7d672b5,Brian Melancon,,7,3,0,68,170,,Orthodox,43,4.18,0.49,3.64,0.64,2.02,1.0,0.66,0.0
700a674c042b7a96,Cody Gibson,The Renegade,22,12,0,70,135,71,Orthodox,38,3.63,0.46,3.22,0.57,2.12,0.37,0.69,0.6
92c96df8bdab5fea,Dave Martin,,0,2,0,72,205,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231cae8b77fbbcc1,Khalid Murtazaliev,,14,2,0,72,185,76,Orthodox,32,4.8,0.69,0.4,0.78,7.5,1.0,0.33,0.0
f782f953bfe7b5f2,Jonathan Micallef,The Captain,9,1,0,72,170,77,Southpaw,26,3.96,0.41,4.22,0.56,1.13,0.66,0.75,1.1
53c10176e3bc7416,Felipe Bunes,Felipinho,14,8,0,67,125,69,Orthodox,36,2.93,0.5,4.66,0.44,1.13,0.22,0.4,2.3
c0d5c0c95c59050b,Ariane Carnelossi,Sorriso,15,4,0,62,115,61,Orthodox,33,2.63,0.38,4.61,0.44,1.08,0.5,0.22,0.2
4e5bbc4566049cbf,Branko Cikatic,,0,2,0,73,215,,Orthodox,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210935fd21670f6d,Rich Attonito,The Raging Bull,10,5,0,70,170,72,Orthodox,48,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0
c5ccd878231c5407,Ramon Taveras,The Savage,10,4,0,68,145,70,Southpaw,32,4.07,0.43,6.45,0.54,0.0,0.0,0.72,0.0
8f0d576beba1cfcd,Matt Dwyer,,9,4,0,76,170,76,Orthodox,36,2.57,0.34,3.24,0.54,0.44,0.1,0.6,0.0
c9cf753cfdf77fc2,Marcin Tybura,Tybur,27,10,0,75,246,78,Orthodox,40,3.59,0.48,3.33,0.55,1.38,0.33,0.75,0.1
2549d63da9c456cb,Rick Davis,The Flying Squirrel,3,1,1,69,155,,Orthodox,,3.09,0.5,6.19,0.64,0.0,0.0,0.0,0.0
9bcf8603ceb25680,Dong Hyun Kim,Stun Gun,22,4,,74,170,76,Southpaw,44,2.12,0.49,1.89,0.58,2.93,0.43,0.71,0.6
c06d554ce1713fd3,Danny Mitchell,The Cheesecake Assassin,19,9,1,74,170,,Orthodox,39,2.53,0.49,2.53,0.52,0.0,0.0,1.0,3.0
147e70aa6cc48cfc,Tresean Gore,Mr. Vicious,6,4,0,72,185,75,Switch,31,2.76,0.42,7.48,0.4,1.83,0.75,0.88,0.9
6f4d199c0adc06f5,Samandar Murodov,,11,0,0,73,170,75,Orthodox,26,1.5,0.75,0.5,0.44,6.01,0.66,0.0,1.5
4a6dff1b260bcf61,Aleksandre Topuria,El Conquistador,7,1,0,67,135,68,Orthodox,30,2.93,0.55,2.57,0.68,1.5,0.33,1.0,0.0
e6c5908910cc26e4,Lavar Johnson,Big,18,10,0,76,240,82,Orthodox,48,5.39,0.55,2.54,0.55,0.61,0.66,0.54,0.6
e99821959a840bb8,Lara Procopio,,7,2,0,64,125,67,Orthodox,30,5.64,0.58,6.5,0.47,3.15,0.47,0.5,0.3
b732b326c362fb62,Ryan Thomas,The Tank Engine,20,8,0,72,170,,Orthodox,41,2.01,0.36,4.17,0.3,5.59,0.33,0.0,2.2
9d455d5cfe6a0e35,Kyle Bolt,,8,4,0,74,185,,,,7.27,0.52,7.27,0.45,0.0,0.0,0.0,0.0
dc052ab64be66e1d,Anthony Guarascio,The Daywalker,3,1,,74,233,72,Orthodox,31,7.5,0.28,41.25,0.35,0.0,0.0,0.0,0.0
ce039df1994b18f0,Lance Lawrence,,4,1,0,73,145,74,Orthodox,32,5.87,0.5,9.8,0.24,1.0,1.0,0.5,0.0
b5da8f7d05e85a55,Josh Parisian,,15,8,0,76,265,79,Orthodox,36,4.55,0.48,4.88,0.41,0.98,0.33,0.46,0.2
5e1062e066c601e6,Tetsuya Seki,,14,8,1,70,155,,,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
de45aaae23dfa392,Christos Giagos,The Spartan,20,12,0,70,155,71,Orthodox,36,3.03,0.41,3.21,0.5,2.84,0.36,0.52,0.4
8e8e4487c621aa1c,Joe Ellenberger,Excalibur,15,2,0,69,155,72,Orthodox,40,1.62,0.47,3.45,0.48,3.17,0.4,0.0,1.1
083e15da67d9b0fa,Josh Thornburg,,8,8,0,72,170,,,41,1.2,0.5,3.13,0.38,2.0,0.66,0.42,2.0
e5549c82bfb5582d,Alex Pereira,Poatan,13,3,0,76,205,79,Orthodox,38,5.16,0.62,3.5,0.53,0.11,0.5,0.79,0.2
92b36014314b028b,Peggy Morgan,The Daywalker,4,4,0,73,135,,,46,2.27,0.23,8.2,0.33,0.0,0.0,0.5,0.0
172c2135e70f87b7,Luke Barnatt,The Bigslow,13,4,0,78,185,77,Orthodox,37,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4
8d3b4a630b1bf1e6,Rafael Pergentino,,5,1,0,73,205,76,Orthodox,24,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
37e03538c960bac6,Abdul-Kerim Edilov,,17,4,0,74,205,,Orthodox,34,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0
040d3b4c735541aa,Zoila Frausto,Warrior Princess,13,5,0,64,135,,Orthodox,42,0.77,0.31,1.64,0.53,0.0,0.0,0.57,0.0
745fa7b605f8e2da,Fatima Kline,The Archangel,9,1,0,66,115,67,Orthodox,25,5.01,0.5,2.71,0.57,2.02,0.58,0.5,0.0
454c1f0b638972ab,Armando Villarreal,La Lumbre,5,2,0,67,135,66,Southpaw,36,3.23,0.55,4.3,0.52,3.23,0.25,0.0,0.0
6eedb757f13b9978,Marwan Rahiki,Freaky,7,0,0,68,145,72,Orthodox,23,5.96,0.47,6.1,0.56,0.0,0.0,1.0,2.1
d967f0128c323de6,Daniel Cormier,DC,22,3,,71,235,72,Orthodox,46,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4
56f7d7ee06be4aab,Zac Pauga,The High Chief,7,3,0,74,205,76,Orthodox,37,4.46,0.62,2.73,0.58,0.38,0.07,1.0,0.0
ac7c765882f2c68c,Elise Reed,,8,5,0,63,115,63,Orthodox,33,3.41,0.53,3.26,0.51,0.46,0.6,0.53,0.0
74d5f71eeb0c66c7,Gabriel Salinas-Jones,,5,2,1,73,245,,,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9c5f7d5c6d084b35,Gabriel Checco,Zangief,10,2,0,73,185,,Switch,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35b3772629e27a49,Kevin Croom,Crash,21,15,,71,135,73,Orthodox,38,2.65,0.34,3.1,0.41,0.48,0.05,0.3,0.5
d0c325dfefdde31f,Garrett Mueller,,3,3,0,69,135,,,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba5e253af86db1a8,Terrion Ware,Flash,17,9,0,68,135,71,Orthodox,39,4.02,0.32,6.07,0.5,0.5,0.22,0.44,0.0
69a400af4420cd6a,Andreas Stahl,Real Steel,10,4,0,71,170,,Orthodox,37,2.83,0.37,4.74,0.57,1.55,0.66,0.8,0.0
676a2e5ec4d7338c,Eduardo Dantas,Dudu,20,4,0,70,135,,,37,3.33,0.6,3.0,0.6,4.0,0.23,1.0,0.0
86b9b51a81e9c339,Anthony Leone,,15,8,0,66,135,,Orthodox,38,1.94,0.53,2.52,0.56,1.72,0.18,0.0,0.0
c80095f6092271a7,Tim Boetsch,The Barbarian,21,13,0,72,185,74,Orthodox,45,2.93,0.5,2.9,0.57,1.45,0.34,0.59,0.8
aec273fcb765330d,Kyle Jensen,,4,11,2,69,170,,Orthodox,46,0.0,0.0,0.92,0.6,6.92,1.0,0.0,6.9
232c582f29f8f65e,Gegard Mousasi,,42,6,2,74,185,76,Orthodox,40,3.75,0.5,1.21,0.68,1.59,0.6,0.59,1.1
8d11d9c13e2ccdf7,Muhammad Naimov,Hillman,13,4,0,69,145,70,Orthodox,31,2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2
dfbb95ca0c143988,Shana Olsen,Rock Solid,5,2,0,67,145,,,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
